feature_set,scaler,n_features,k,inertia,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,min_cluster_pct,behavioural_separation,declared_separation,flag_redundancy,actionable,substantive,viable
behaviour_wide,log_standard,10,6,8336.583762376322,0.21227429269890719,557.9468194821358,1.3874765819008896,38,0.019,0.4488265197964922,0.002099668145422888,0.0014055674567744782,True,True,True
behaviour_wide,log_standard,10,7,7843.20331996632,0.21363479645875538,514.8511986513819,1.3035015997672825,38,0.019,0.49309626412562196,0.0027014042860226384,0.002199485931159301,True,True,True
behaviour_wide,log_standard,10,8,7393.712014005951,0.18766142011655887,485.1946321903706,1.427694314764541,38,0.019,0.5156017248749375,0.0035735949395423864,0.005004244212564181,True,True,True
behaviour_wide,log_standard,10,9,7023.444867679551,0.1921745220854483,459.82281051537973,1.3955863113327227,38,0.019,0.546227727721812,0.003905392456992171,0.0014119550010587318,True,True,True
behaviour_wide,log_standard,10,10,6697.9971755351025,0.1945948299497825,439.1194184529623,1.4073691223713394,38,0.019,0.5616452021142444,0.004593781651566282,0.0011209799380055426,True,True,True
behaviour_demo,standard,8,2,13554.346117282781,0.142188173697391,360.5055098481267,2.240878710706778,993,0.4965,0.2033059600220799,0.0011615594749281324,0.0011960783829860673,True,True,True
behaviour_demo,standard,8,3,12220.546785812154,0.14860102535409767,308.8064798170784,1.8282683290262753,50,0.025,0.31330449771962504,0.0025144378933683238,-0.0005500669420606979,True,True,True
behaviour_demo,standard,8,4,11211.72433127667,0.1320009736897095,284.1489245952434,1.919235300260627,49,0.0245,0.3915218752818479,0.008630889866792073,0.00011055360560477501,True,True,True
behaviour_demo,standard,8,5,10430.081690227436,0.12598025190945233,266.34467873841635,1.93078379629011,49,0.0245,0.45732513855871865,0.00861733557994606,0.00045801061240232786,True,True,True
behaviour_demo,standard,8,6,9808.120201818168,0.12200108458109288,251.76298951323642,1.8509548783889587,48,0.024,0.45227801017642766,0.06554762781892128,0.0008236409846917402,True,True,True
behaviour_demo,standard,8,7,9309.664428864295,0.12290755045006153,238.70962079528834,1.7985699262271038,47,0.0235,0.4927393478533304,0.06705198605427963,-0.0006024725445687006,True,True,True
behaviour_demo,standard,8,8,8885.07579940894,0.11918559099131187,227.87825205467257,1.7588662970950009,48,0.024,0.4820201760712511,0.11357209579975447,2.497296866112323e-05,True,True,True
behaviour_demo,standard,8,9,8537.784923241854,0.11833204560599223,217.52231918756343,1.7319474435739055,47,0.0235,0.48528646272924414,0.1401298206376517,0.0010475060709790238,True,True,True
behaviour_demo,standard,8,10,8245.178740416317,0.12105172550172387,207.9611854585501,1.694451980346636,47,0.0235,0.4968398190017997,0.15345598350635067,0.0006298612687307573,True,True,True
behaviour_demo,minmax,8,2,514.1606060288856,0.24222531919557747,727.2628782737161,1.5513697032598819,774,0.387,0.0006747214019494512,0.12493833210566353,-0.00013287214150378753,True,False,False
behaviour_demo,minmax,8,3,455.7384953266626,0.1868789869932301,538.0407078001168,1.8666986798295664,589,0.2945,0.00979173409544562,0.19874724287077153,0.0013303153443952932,True,False,False
behaviour_demo,minmax,8,4,418.22130198249266,0.15112376992636092,450.36002566676177,1.9571928755978283,435,0.2175,0.011780137953379075,0.24544815929119843,0.002457400693036299,True,False,False
behaviour_demo,minmax,8,5,391.69105121381205,0.1487385250794188,394.2510381268093,1.8952504288707732,312,0.156,0.06540323883922854,0.24208219588655452,-0.000947487555072152,True,False,False
behaviour_demo,minmax,8,6,368.33502785749,0.145193395336031,360.5182599756712,1.891074023949555,298,0.149,0.10471047859685205,0.2450471794396134,0.0010588632528095558,True,False,False
behaviour_demo,minmax,8,7,351.97558920622225,0.13837866440014965,329.6824298382991,1.8323825967440788,250,0.125,0.13911141570518934,0.24168928206382012,0.0011833991946182739,True,False,False
behaviour_demo,minmax,8,8,335.35139637262034,0.1394074059106114,310.546303317614,1.7710435931792334,190,0.095,0.14718124758626838,0.25448025770728394,0.0017577812688578125,True,False,False
behaviour_demo,minmax,8,9,323.8142918973366,0.13928959291401652,290.13519001699586,1.7196908562106048,176,0.088,0.18653677332093496,0.25261817242953866,0.0004094959600886221,True,False,False
behaviour_demo,minmax,8,10,312.58835184847726,0.13788528170138836,274.9663456300591,1.700335825976019,117,0.0585,0.22100983982245795,0.25424202474755736,5.7174886456166316e-05,True,False,False
behaviour_demo,log_standard,8,2,13435.911166632617,0.1471539004608876,381.2970408387798,2.190355153326339,933,0.4665,0.19829833368896652,0.0017804051603026812,0.003036711212471733,True,True,True
behaviour_demo,log_standard,8,3,12110.91616642839,0.13494606173318519,320.64049940215443,2.121617831750948,579,0.2895,0.2940244510471464,0.005388748995882891,0.0038514735151883007,True,True,True
behaviour_demo,log_standard,8,4,11306.307668230358,0.12498563936451057,276.2059954827123,2.0339949637555508,411,0.2055,0.36219143731123166,0.00771920379204466,0.001720739021827971,True,True,True
